user_id,group,open,click,purchase
1,A,0,0,0
2,B,1,0,0
3,B,1,0,0
4,B,0,0,0
5,A,0,0,0
6,A,1,0,0
7,B,1,0,0
8,A,1,1,0
9,A,0,0,0
10,A,0,0,0
11,B,0,0,0
12,A,0,0,0
13,B,0,0,0
14,B,0,0,0
15,B,1,0,0
16,A,0,0,0
17,B,0,0,0
18,A,0,0,0
19,B,1,0,0
20,A,0,0,0
21,A,0,0,0
22,B,0,0,0
23,A,0,0,0
24,B,0,0,0
25,B,0,0,0
26,B,1,1,0
27,B,0,0,0
28,A,0,0,0
29,A,1,0,0
30,B,0,0,0
31,B,0,0,0
32,B,0,0,0
33,A,1,0,0
34,B,1,0,0
35,A,0,0,0
36,A,0,0,0
37,A,0,0,0
38,A,1,0,0
39,B,1,1,0
40,B,1,0,0
41,A,0,0,0
42,A,0,0,0
43,B,0,0,0
44,A,0,0,0
45,A,0,0,0
46,A,1,0,0
47,B,0,0,0
48,B,0,0,0
49,B,0,0,0
50,B,1,0,0
51,B,1,1,0
52,B,0,0,0
53,B,1,0,0
54,A,1,0,0
55,B,0,0,0
56,A,0,0,0
57,B,0,0,0
58,A,1,0,0
59,A,0,0,0
60,A,0,0,0
61,B,0,0,0
62,A,0,0,0
63,B,1,0,0
64,B,1,0,0
65,A,0,0,0
66,A,1,0,0
67,B,0,0,0
68,B,1,0,0
69,B,0,0,0
70,A,0,0,0
71,B,0,0,0
72,A,0,0,0
73,B,0,0,0
74,B,1,0,0
75,B,0,0,0
76,B,1,0,0
77,B,0,0,0
78,B,1,0,0
79,B,0,0,0
80,B,0,0,0
81,B,0,0,0
82,B,1,1,0
83,A,1,0,0
84,B,0,0,0
85,B,1,0,0
86,A,1,1,0
87,B,0,0,0
88,A,0,0,0
89,B,0,0,0
90,B,1,1,0
91,A,0,0,0
92,B,0,0,0
93,A,0,0,0
94,A,0,0,0
95,A,0,0,0
96,A,1,0,0
97,B,0,0,0
98,B,1,0,0
99,A,1,1,0
100,A,0,0,0
101,B,0,0,0
102,B,0,0,0
103,A,0,0,0
104,A,0,0,0
105,B,0,0,0
106,B,0,0,0
107,A,0,0,0
108,B,1,0,0
109,A,0,0,0
110,A,0,0,0
111,B,1,0,0
112,B,1,1,0
113,A,1,0,0
114,B,1,0,0
115,A,0,0,0
116,A,0,0,0
117,A,1,0,0
118,B,0,0,0
119,A,0,0,0
120,A,0,0,0
121,A,1,0,0
122,B,0,0,0
123,B,0,0,0
124,A,0,0,0
125,B,0,0,0
126,B,1,0,0
127,B,1,0,0
128,B,0,0,0
129,A,0,0,0
130,B,1,1,0
131,B,1,1,0
132,B,0,0,0
133,B,0,0,0
134,A,0,0,0
135,A,1,1,0
136,A,0,0,0
137,A,0,0,0
138,B,1,1,0
139,A,1,0,0
140,B,0,0,0
141,A,0,0,0
142,A,1,0,0
143,A,0,0,0
144,B,0,0,0
145,B,1,0,0
146,A,0,0,0
147,A,0,0,0
148,B,1,0,0
149,B,0,0,0
150,A,1,0,0
151,B,0,0,0
152,A,1,0,0
153,B,1,0,0
154,A,0,0,0
155,B,0,0,0
156,A,0,0,0
157,A,0,0,0
158,B,0,0,0
159,B,1,0,0
160,B,1,0,0
161,B,1,0,0
162,B,0,0,0
163,B,0,0,0
164,B,0,0,0
165,B,1,0,0
166,B,0,0,0
167,B,1,0,0
168,B,1,1,1
169,B,0,0,0
170,B,0,0,0
171,A,1,0,0
172,A,1,1,0
173,B,0,0,0
174,B,0,0,0
175,B,1,0,0
176,B,0,0,0
177,B,0,0,0
178,B,1,0,0
179,A,0,0,0
180,B,0,0,0
181,B,1,1,0
182,A,0,0,0
183,B,1,0,0
184,B,1,0,0
185,A,0,0,0
186,B,0,0,0
187,A,1,0,0
188,B,1,1,0
189,B,0,0,0
190,B,1,0,0
191,B,1,1,1
192,B,0,0,0
193,A,0,0,0
194,B,0,0,0
195,B,0,0,0
196,A,0,0,0
197,B,0,0,0
198,A,0,0,0
199,B,0,0,0
200,B,1,0,0
201,B,0,0,0
202,B,1,0,0
203,A,0,0,0
204,B,0,0,0
205,A,1,0,0
206,A,0,0,0
207,A,0,0,0
208,B,0,0,0
209,A,0,0,0
210,B,0,0,0
211,A,0,0,0
212,A,1,1,0
213,A,0,0,0
214,A,1,0,0
215,A,0,0,0
216,A,0,0,0
217,B,0,0,0
218,A,1,1,0
219,B,0,0,0
220,B,0,0,0
221,A,0,0,0
222,A,0,0,0
223,B,0,0,0
224,B,1,0,0
225,A,0,0,0
226,A,1,0,0
227,B,0,0,0
228,B,1,0,0
229,B,0,0,0
230,B,0,0,0
231,B,1,0,0
232,B,0,0,0
233,B,0,0,0
234,A,0,0,0
235,B,1,0,0
236,A,0,0,0
237,B,0,0,0
238,B,0,0,0
239,B,0,0,0
240,A,0,0,0
241,B,0,0,0
242,A,0,0,0
243,A,0,0,0
244,A,0,0,0
245,A,0,0,0
246,A,0,0,0
247,B,1,0,0
248,A,1,0,0
249,B,0,0,0
250,B,0,0,0
251,A,0,0,0
252,A,0,0,0
253,B,1,1,0
254,A,0,0,0
255,A,0,0,0
256,B,0,0,0
257,A,0,0,0
258,B,1,0,0
259,A,1,1,0
260,A,0,0,0
261,B,0,0,0
262,A,0,0,0
263,A,0,0,0
264,A,1,0,0
265,A,0,0,0
266,A,1,0,0
267,B,1,0,0
268,A,0,0,0
269,A,1,0,0
270,A,1,0,0
271,B,1,0,0
272,A,0,0,0
273,A,1,0,0
274,B,1,0,0
